key,name
607020,Meningococcal ACWY Vaccines (MenACWY)
607022,Pneumococcal Polysaccharide Vaccine
607023,Rabies Vaccine
607024,Rotavirus Vaccine
607025,Live Shingles (Zoster) Vaccine (ZVL)
607026,"Tetanus, Diphtheria (Td) Vaccine"
607027,"Tetanus, Diphtheria, Pertussis (Tdap) Vaccine"
607028,Typhoid Vaccine
607029,Varicella (Chickenpox) Vaccine
607030,Yellow Fever Vaccine
607031,Fulvestrant Injection
607032,Ibandronate Injection
607033,Insulin Glulisine (rDNA origin) Injection
607034,Lubiprostone
607035,Oxaliplatin Injection
607036,Posaconazole
607037,Primaquine
607038,Rituximab Injection
607039,Aliskiren
607040,Bismuth Subsalicylate
607041,Cetuximab Injection
607042,Darunavir
607043,Pemetrexed Injection
607044,Ranibizumab Injection
607045,Telbivudine
607046,Dimenhydrinate
607047,Lisdexamfetamine
607048,Nabilone
607049,Retapamulin
607050,Vorinostat
607051,Sorafenib
607052,Sunitinib
607054,Dronabinol
607055,Lapatinib
607056,Levocetirizine
607057,Pegaptanib Injection
607058,Pegfilgrastim Injection
607059,Rotigotine Transdermal Patch
607060,Verteporfin Injection
607061,Arformoterol Oral Inhalation
607062,Aminolevulinic Acid Topical
607063,Dasatinib
607064,Mexiletine
607065,Omega-3 Fatty Acids
607066,Panitumumab Injection
607067,Armodafinil
607068,Azacitidine Injection
607069,Ivermectin
607070,Paclitaxel (with polyoxyethylated castor oil) Injection
607071,Temsirolimus
607072,Salicylic Acid Topical
607073,Antipyrine-Benzocaine Otic
607074,Bentoquatam Topical
607076,Maraviroc
607077,Nelarabine Injection
607078,Rivastigmine Transdermal Patch
608001,Lenalidomide
608002,Nilotinib
608003,Toremifene
608004,Raltegravir
608005,Apraclonidine Ophthalmic
608006,Bexarotene
608007,Budesonide
608008,Chloramphenicol Injection
608009,Decitabine Injection
608010,Desmopressin
608011,Talc Intrapleural
608012,Betaine
608013,OnabotulinumtoxinA Injection
608014,RimabotulinumtoxinB Injection
608015,Doripenem Injection
608016,Etravirine
608017,Arsenic Trioxide Injection
608018,Calcipotriene Topical
608019,Mitoxantrone Injection
608020,Sapropterin
608021,Liotrix
608022,Desvenlafaxine
608023,Aminocaproic Acid
608024,Aminocaproic Acid Injection
608025,Cevimeline
608026,Oxymetazoline Nasal Spray
608027,How to Use Nasal Sprays
608028,How to Use Nasal Pump Sprays
608029,Nebivolol
608030,Moxifloxacin Injection
608032,Tretinoin
608033,"How to Use Vaginal Tablets, Suppositories, and Creams"
608034,Bendamustine Injection
608035,Mometasone Oral Inhalation
608036,Bexarotene Topical
608037,Tacrolimus Injection
608038,Leucovorin Injection
608039,Pilocarpine
608040,Flecainide
608041,Certolizumab Injection
608042,Ixabepilone Injection
608043,Irinotecan Injection
608044,Levoleucovorin Injection
608045,Daptomycin Injection
608046,Estramustine
608047,Sertaconazole Topical
608048,Praziquantel
608049,Clonidine Transdermal Patch
608050,Mitotane
608051,Alvimopan
608052,Methylnaltrexone Injection
608053,Alemtuzumab Injection (Chronic Lymphocytic Leukemia)
609001,Rufinamide
609002,Silodosin
609003,Midazolam
609004,Ciclesonide Oral Inhalation
609005,Clindamycin Topical
609006,Clindamycin Vaginal
609007,Naltrexone Injection
609008,Romiplostim Injection
609009,Bimatoprost Topical
609010,Dexrazoxane Injection
609011,Eltrombopag
609012,Ibritumomab Injection
609014,Midazolam Injection
609015,Granisetron Transdermal Patch
609016,Milnacipran
609017,Dexlansoprazole
609018,Plerixafor Injection
609019,Sodium Phosphate
609020,Febuxostat
609021,Fesoterodine
609022,Degarelix Injection
609023,Betaxolol
609024,Artemether and Lumefantrine
609025,Difluprednate Ophthalmic
609026,Iloperidone
609027,Prasugrel
609028,Lacosamide
609029,Lacosamide Injection
609032,Everolimus
609033,Tolvaptan (low blood sodium)
609034,Dronedarone
609035,AbobotulinumtoxinA Injection
610001,Pralatrexate Injection
610002,Palonosetron Injection
610003,Saxagliptin
610004,Telavancin Injection
610005,Romidepsin Injection
610006,Tapentadol
610007,Topotecan
610008,Rasburicase Injection
610009,Ofatumumab Injection (Chronic Lymphocytic Leukemia)
610010,Golimumab Injection
