ml_name,db_name,ml_key
Rifaximin,Rifaximin,604027
Celecoxib,Celecoxib,699022
Futibatinib,Futibatinib,622072
Tetracycline,Tetracycline,682098
Pseudoephedrine,Pseudoephedrine,682619
Ponatinib,Ponatinib,613029
Dronedarone,Dronedarone,609034
Lorazepam,Lorazepam,682053
Triamterene,Triamterene,682337
Omadacycline,Omadacycline,618066
Belzutifan,Belzutifan,621047
Sonidegib,Sonidegib,615034
Droxidopa,Droxidopa,614025
Raltegravir,Raltegravir,608004
Cabozantinib,Cabozantinib,616037
Hydroxyzine,Hydroxyzine,682866
Idelalisib,Idelalisib,614040
Molnupiravir,Molnupiravir,622027
Propantheline,Propantheline,684020
Loperamide,Loperamide,682280
Ozanimod,Ozanimod,620029
Molindone,Molindone,682238
Levetiracetam,Levetiracetam,699059
Vonoprazan,Vonoprazan,624006
Tadalafil,Tadalafil,604008
Desipramine,Desipramine,682387
Triazolam,Triazolam,684004
Rilzabrutinib,Rilzabrutinib,625102
Prucalopride,Prucalopride,619011
Sulfinpyrazone,Sulfinpyrazone,682339
Everolimus,Everolimus,609032
Ospemifene,Ospemifene,613039
Mefloquine,Mefloquine,603030
Mercaptopurine,Mercaptopurine,682653
Roflumilast,Roflumilast,611034
Pemigatinib,Pemigatinib,620028
Sofpironium,Sofpironium,624052
Guaifenesin,Guaifenesin,682494
Nifedipine,Nifedipine,684028
Ibuprofen,Ibuprofen,682159
Febuxostat,Febuxostat,609020
Terbinafine,Terbinafine,699061
Chlorothiazide,Chlorothiazide,682341
Levorphanol,Levorphanol,682020
Benzgalantamine,Benzgalantamine,624044
Desmopressin,Desmopressin,608010
Glimepiride,Glimepiride,696016
Nifurtimox,Nifurtimox,620061
Rosuvastatin,Rosuvastatin,603033
Nimodipine,Nimodipine,689010
Tenofovir alafenamide,Tenofovir alafenamide,602018
Thioridazine,Thioridazine,682119
Propafenone,Propafenone,698002
Quinine,Quinine,682322
Nilutamide,Nilutamide,697044
Aldesleukin,Aldesleukin,692009
Rosiglitazone,Rosiglitazone,699023
Rizatriptan,Rizatriptan,601109
Felbamate,Felbamate,606011
Avanafil,Avanafil,614010
Daunorubicin,Daunorubicin,682289
Dipyridamole,Dipyridamole,682830
Zuranolone,Zuranolone,623048
Piroxicam,Piroxicam,684045
Linaclotide,Linaclotide,613007
Labetalol,Labetalol,685034
Miglustat,Miglustat,604015
Oseltamivir,Oseltamivir,699040
Bosentan,Bosentan,605001
Semaglutide,Semaglutide,619057
Methimazole,Methimazole,682464
Rivaroxaban,Rivaroxaban,611049
Carvedilol,Carvedilol,697042
Indinavir,Indinavir,696028
Danazol,Danazol,682599
Capivasertib,Capivasertib,623056
Maprotiline,Maprotiline,682158
Maralixibat,Maralixibat,621056
Glucarpidase,Glucarpidase,613009
Tretinoin,Tretinoin,608032
Nefazodone,Nefazodone,695005
Elinzanetant,Elinzanetant,625113
Benzonatate,Benzonatate,682640
Codeine,Codeine,682065
Clindamycin,Clindamycin,682399
Naltrexone,Naltrexone,685041
Naldemedine,Naldemedine,617031
Griseofulvin,Griseofulvin,682295
Melphalan,Melphalan,682220
Cabotegravir,Cabotegravir,621010
Metaxalone,Metaxalone,682010
Tizanidine,Tizanidine,601121
Lofexidine,Lofexidine,618036
Duvelisib,Duvelisib,618056
Saquinavir,Saquinavir,696001
Azathioprine,Azathioprine,682167
Nilotinib,Nilotinib,608002
Pralsetinib,Pralsetinib,620057
Clemastine,Clemastine,682542
Sunvozertinib,Sunvozertinib,625088
Loratadine,Loratadine,697038
Imlunestrant,Imlunestrant,625104
Leniolisib,Leniolisib,623016
Ketoprofen,Ketoprofen,686014
Chloroquine,Chloroquine,682318
Calcifediol,Calcifediol,616041
Lurasidone,Lurasidone,611016
Pivmecillinam,Pivmecillinam,624031
Fostemsavir,Fostemsavir,620046
Cetirizine,Cetirizine,623043
Olaparib,Olaparib,614060
Voclosporin,Voclosporin,622021
Ponesimod,Ponesimod,621025
Ramipril,Ramipril,692027
Levonorgestrel,Levonorgestrel,610021
Disulfiram,Disulfiram,682602
Eflornithine,Eflornithine,624008
Sofosbuvir,Sofosbuvir,614014
Regorafenib,Regorafenib,613004
Cariprazine,Cariprazine,615050
Ritlecitinib,Ritlecitinib,624015
Letermovir,Letermovir,618006
Siponimod,Siponimod,619027
Liotrix,Liotrix,608021
Mirtazapine,Mirtazapine,697009
Ramelteon,Ramelteon,605038
Gepotidacin,Gepotidacin,625059
Didanosine,Didanosine,691006
Adagrasib,Adagrasib,623003
Carisoprodol,Carisoprodol,682578
Empagliflozin,Empagliflozin,614043
Nizatidine,Nizatidine,694030
Milnacipran,Milnacipran,609016
Dacarbazine,Dacarbazine,682750
Colchicine,Colchicine,682711
Letrozole,Letrozole,698004
Axitinib,Axitinib,612017
Nerandomilast,Nerandomilast,625107
Fezolinetant,Fezolinetant,623051
Progesterone,Progesterone,604017
Ziprasidone,Ziprasidone,699062
Ripretinib,Ripretinib,620035
Cabergoline,Cabergoline,612020
Epirubicin,Epirubicin,603003
Clonazepam,Clonazepam,682279
Oxycodone,Oxycodone,682132
Cephalexin,Cephalexin,682733
Thalidomide,Thalidomide,699032
Levofloxacin,Levofloxacin,697040
Ampicillin,Ampicillin,685002
Ubrogepant,Ubrogepant,620016
Pirfenidone,Pirfenidone,615008
Frovatriptan,Frovatriptan,604013
Crofelemer,Crofelemer,613016
